id,sex,weight,height,home
1,M,63,168,N
2,M,60,180,N
3,F,54,165,N
4,M,78,168,N
5,M,70,168.5,N
6,F,52,152,N
7,M,76,180,N
8,F,65,166,M
9,F,45,155,S
10,M,69,177,N
11,F,53,165,N
12,M,80,175,N
13,F,78,179,other
14,M,60,170,N
15,M,65,162,N
16,M,69,177,S
17,F,50,163,S
18,F,45,160,N
19,F,48,158,N
20,F,48,165,N
21,M,60,167,N
22,M,70,177,N
23,F,61,169,N
24,F,44,154,N
25,F,50,162,N
26,F,48,163,N
27,F,50,163,N
28,F,50,165,N
29,F,50,162,N
30,F,40,180,M
31,M,63,170,S
32,F,46,161,N
33,F,53,162,N
34,F,48,162,M
35,F,45,158,N
36,M,80,178,S
37,F,50,160,S
38,F,50,155,N
39,F,52,162,S
40,F,52,158,S
41,F,39,150,N
42,F,45,162,N
43,F,57,166,S
44,M,62,172,N
45,M,68,178,M
46,F,50,160,N
47,F,49,164,N
48,F,55,168,N
49,F,50,159,S
50,M,89,184,N
51,F,50,160,N
52,M,64,176,M
53,F,48,159,other
54,M,56,174,N
55,M,72,178,N
56,F,43,156,other
57,F,69,176,S
58,F,51,164,M
59,F,72,180,S
60,M,66,179,N
61,F,58,175,N
62,F,62,173,N
63,F,45,160,N
64,F,52,160,N
65,F,39,146,N
66,F,57,162,M
67,M,60,175,N
68,F,48,160,S
69,F,47,160,other
70,F,50,167,M
71,F,50,160,S
72,F,66,173,N
73,M,60,174,N
74,F,56,165,M
75,F,52,165,N
76,F,50,160,M
77,F,65,173,N
78,M,72,180,N
79,M,54,173,N
80,F,48,168,M
81,F,46,165,N
82,F,60,168,S
83,F,51,157,N
84,M,72,179,N
85,F,44,161,S
86,M,70,172,N
87,F,52,163,N
88,F,46,158,N
89,F,40,167,N
90,F,48,162,N
91,F,49,160,N
92,F,49,159,N
93,F,54,163,S
94,F,46,157,N
95,F,48,159,S
96,F,48,155,N
97,M,70,183,N
98,F,50,166,S
99,F,57,167,M
100,M,55,175,N
101,F,45,160,N
102,F,41,154,N
103,F,38,149,N
104,F,54,162,S
105,F,46,151,N
106,F,54,153,S
107,F,58,166.5,N
108,F,49,165,S
109,M,57,175,M
110,F,42,153,M
111,F,48,164,S
112,F,43,156,N
